"Stiffness of Suspension Kms (X)"					
"Kms (|X| < Xprot)"		"Kmt (|X| < Xprot)"		"Kmt (-X)"	
"X [mm]"	"Kms [N/mm]"	"X [mm]"	"Kms [N/mm]"	"X [mm]"	"Kms [N/mm]"
1.06366	0.38579	1.06366	1.66189	-1.06366	1.66189
1.07535	0.386198	1.07535	1.66192	-1.07535	1.66192
1.08704	0.386637	1.08704	1.66198	-1.08704	1.66198
1.09872	0.387107	1.09872	1.66208	-1.09872	1.66208
1.11041	0.38761	1.11041	1.66221	-1.11041	1.66221
1.1221	0.388146	1.1221	1.66237	-1.1221	1.66237
1.13379	0.388716	1.13379	1.66257	-1.13379	1.66257
1.14548	0.389321	1.14548	1.6628	-1.14548	1.6628
1.15717	0.389961	1.15717	1.66306	-1.15717	1.66306
1.16886	0.390638	1.16886	1.66337	-1.16886	1.66337
1.18054	0.391352	1.18054	1.66371	-1.18054	1.66371
1.19223	0.392104	1.19223	1.66409	-1.19223	1.66409
1.20392	0.392895	1.20392	1.66451	-1.20392	1.66451
1.21561	0.393726	1.21561	1.66497	-1.21561	1.66497
1.2273	0.394597	1.2273	1.66547	-1.2273	1.66547
1.23899	0.39551	1.23899	1.66601	-1.23899	1.66601
1.25068	0.396466	1.25068	1.66659	-1.25068	1.66659
1.26236	0.397465	1.26236	1.66722	-1.26236	1.66722
1.27405	0.398508	1.27405	1.66789	-1.27405	1.66789
1.28574	0.399596	1.28574	1.66861	-1.28574	1.66861
1.29743	0.400731	1.29743	1.66937	-1.29743	1.66937
1.30912	0.401912	1.30912	1.67018	-1.30912	1.67018
1.32081	0.403142	1.32081	1.67104	-1.32081	1.67104
1.3325	0.40442	1.3325	1.67195	-1.3325	1.67195
1.34418	0.405749	1.34418	1.67291	-1.34418	1.67291
1.35587	0.407128	1.35587	1.67392	-1.35587	1.67392
1.36756	0.408559	1.36756	1.67498	-1.36756	1.67498
1.37925	0.410042	1.37925	1.6761	-1.37925	1.6761
1.39094	0.41158	1.39094	1.67727	-1.39094	1.67727
1.40263	0.413172	1.40263	1.67849	-1.40263	1.67849
1.41432	0.414821	1.41432	1.67977	-1.41432	1.67977
1.426	0.416526	1.426	1.68111	-1.426	1.68111
1.43769	0.418288	1.43769	1.6825	-1.43769	1.6825
1.44938	0.42011	1.44938	1.68396	-1.44938	1.68396
1.46107	0.421992	1.46107	1.68547	-1.46107	1.68547
1.47276	0.423935	1.47276	1.68705	-1.47276	1.68705
1.48445	0.425939	1.48445	1.68868	-1.48445	1.68868
1.49614	0.428007	1.49614	1.69038	-1.49614	1.69038
1.50782	0.430139	1.50782	1.69215	-1.50782	1.69215
1.51951	0.432337	1.51951	1.69398	-1.51951	1.69398
1.5312	0.434601	1.5312	1.69588	-1.5312	1.69588
1.54289	0.436932	1.54289	1.69785	-1.54289	1.69785
1.55458	0.439332	1.55458	1.69988	-1.55458	1.69988
1.56627	0.441802	1.56627	1.70198	-1.56627	1.70198
1.57796	0.444342	1.57796	1.70416	-1.57796	1.70416
1.58964	0.446955	1.58964	1.70641	-1.58964	1.70641
1.60133	0.449641	1.60133	1.70873	-1.60133	1.70873
1.61302	0.452401	1.61302	1.71112	-1.61302	1.71112
1.62471	0.455237	1.62471	1.7136	-1.62471	1.7136
1.6364	0.45815	1.6364	1.71614	-1.6364	1.71614
1.64809	0.46114	1.64809	1.71877	-1.64809	1.71877
1.65977	0.464209	1.65977	1.72148	-1.65977	1.72148
1.67146	0.467359	1.67146	1.72426	-1.67146	1.72426
1.68315	0.470591	1.68315	1.72713	-1.68315	1.72713
1.69484	0.473905	1.69484	1.73008	-1.69484	1.73008
1.70653	0.477303	1.70653	1.73312	-1.70653	1.73312
1.71822	0.480786	1.71822	1.73624	-1.71822	1.73624
1.72991	0.484355	1.72991	1.73945	-1.72991	1.73945
1.74159	0.488013	1.74159	1.74274	-1.74159	1.74274
1.75328	0.491759	1.75328	1.74613	-1.75328	1.74613
1.76497	0.495596	1.76497	1.7496	-1.76497	1.7496
1.77666	0.499524	1.77666	1.75317	-1.77666	1.75317
1.78835	0.503545	1.78835	1.75683	-1.78835	1.75683
1.80004	0.50766	1.80004	1.76058	-1.80004	1.76058
1.81173	0.511871	1.81173	1.76443	-1.81173	1.76443
1.82341	0.516178	1.82341	1.76838	-1.82341	1.76838
1.8351	0.520584	1.8351	1.77243	-1.8351	1.77243
1.84679	0.525089	1.84679	1.77657	-1.84679	1.77657
1.85848	0.529694	1.85848	1.78082	-1.85848	1.78082
1.87017	0.534402	1.87017	1.78516	-1.87017	1.78516
1.88186	0.539214	1.88186	1.78962	-1.88186	1.78962
1.89355	0.54413	1.89355	1.79417	-1.89355	1.79417
1.90523	0.549153	1.90523	1.79884	-1.90523	1.79884
1.91692	0.554283	1.91692	1.80361	-1.91692	1.80361
1.92861	0.559522	1.92861	1.80849	-1.92861	1.80849
1.9403	0.564872	1.9403	1.81348	-1.9403	1.81348
1.95199	0.570334	1.95199	1.81859	-1.95199	1.81859
1.96368	0.575909	1.96368	1.8238	-1.96368	1.8238
1.97537	0.581598	1.97537	1.82914	-1.97537	1.82914
1.98705	0.587404	1.98705	1.83458	-1.98705	1.83458
1.99874	0.593328	1.99874	1.84015	-1.99874	1.84015
2.01043	0.59937	2.01043	1.84584	-2.01043	1.84584
2.02212	0.605534	2.02212	1.85164	-2.02212	1.85164
2.03381	0.611819	2.03381	1.85757	-2.03381	1.85757
2.0455	0.618228	2.0455	1.86363	-2.0455	1.86363
2.05719	0.624762	2.05719	1.8698	-2.05719	1.8698
2.06887	0.631422	2.06887	1.87611	-2.06887	1.87611
2.08056	0.638211	2.08056	1.88254	-2.08056	1.88254
2.09225	0.645129	2.09225	1.8891	-2.09225	1.8891
2.10394	0.652178	2.10394	1.8958	-2.10394	1.8958
2.11563	0.65936	2.11563	1.90263	-2.11563	1.90263
2.12732	0.666676	2.12732	1.90959	-2.12732	1.90959
2.13901	0.674128	2.13901	1.91668	-2.13901	1.91668
2.15069	0.681717	2.15069	1.92392	-2.15069	1.92392
2.16238	0.689446	2.16238	1.93129	-2.16238	1.93129
2.17407	0.697314	2.17407	1.93881	-2.17407	1.93881
2.18576	0.705325	2.18576	1.94647	-2.18576	1.94647
2.19745	0.71348	2.19745	1.95427	-2.19745	1.95427
2.20914	0.721779	2.20914	1.96222	-2.20914	1.96222
2.22083	0.730226	2.22083	1.97031	-2.22083	1.97031
2.23251	0.738822	2.23251	1.97855	-2.23251	1.97855
2.2442	0.747567	2.2442	1.98695	-2.2442	1.98695
2.25589	0.756465	2.25589	1.99549	-2.25589	1.99549
2.26758	0.765515	2.26758	2.00419	-2.26758	2.00419
2.27927	0.774722	2.27927	2.01304	-2.27927	2.01304
2.29096	0.784084	2.29096	2.02206	-2.29096	2.02206
2.30265	0.793606	2.30265	2.03123	-2.30265	2.03123
2.31433	0.803288	2.31433	2.04056	-2.31433	2.04056
2.32602	0.813131	2.32602	2.05005	-2.32602	2.05005
2.33771	0.823139	2.33771	2.05971	-2.33771	2.05971
